t,Q,T,COD,NH4,TN,TSS,TP,Qintr,Qr,Qw,Quprimary,Quthickener,Qodewatering,Qmetal,DO5,DO6,DO6ref,DO7,Qo,CODo,NH4o,TNo,TSSo,TPo,EQI,SC,AE,PE,ME,OCI,EQI_original
268.5572925,18464.17425,12.319284249999999,991.285265,33.034670500000004,72.429407,589.54523,13.14927325,36896.422,15322.432,480.08452,140.18842,28.220004,187.60537,0.094316529,0.5693402975,1.277182375,1.2919604,0.59251985,18448.958,42.106101,1.5084702,9.6547653,12.603365,0.949756825,7262.603975,13031.887999999999,4150.458975,614.25424,6150.2880000000005,18313.305,6412.093519486285
268.5989575,19418.43,12.451328,865.0402825,28.83043675,63.614684499999996,522.1248425,12.174017,36896.422,15322.432,480.08452,140.18842,28.18146925,186.57867,0.094316529,1.021370635,1.90625295,2.0354866,1.0897494,19401.54425,42.004522,1.94683125,10.35039575,12.463495,0.90790698,7491.299575,12976.8585,5456.0576,614.241405,6150.725875,19563.42375,6954.852517148019
268.640625,18021.9735,12.5835955,815.4391475,26.68427275,59.55086675,489.78369,12.856294,36896.422,15322.432,480.08452,140.18842,28.1320725,185.70244,0.094316529,1.402212375,2.7984955,2.7790128,1.847513425,18017.332000000002,41.9509125,2.2107037,10.977328,12.427423749999999,0.8820784525,7674.172275,12929.082,6249.6197250000005,614.2284675,6164.63095,20295.29075,6615.780111768358
268.6822925,16449.95075,12.70728425,830.6587425,31.16680975,64.11347225,479.64072500000003,14.169953,36896.422,15322.432,480.08452,140.18842,28.080748,184.904635,0.094316529,1.162751975,2.81912735,2.7790128,1.753489575,16432.92,41.514208749999995,2.2777712,11.451624,12.031378,0.8472317825,7686.600125,12881.3685,5659.4671,614.2159225,6185.9329,19636.1105,6044.52793109702
268.7239575,19192.47925,12.81417575,825.348515,38.41876,70.540976,454.45808750000003,15.193836000000001,36896.422,15322.432,480.08452,140.18842,28.03549225,184.1259775,0.094316529,1.050024075,2.789682925,2.7790128,1.6156227749999998,19164.816,41.654435,2.170343375,11.9979895,12.28851825,0.847783695,7777.7900500000005,12834.6785,5245.6492,614.2042625,6197.0642,19164.45925,7134.317246874798
268.765625,21675.39875,12.8971965,863.2307925,39.14720375,72.82068625,478.3205425,14.266964,36896.422,15322.432,480.08452,140.18842,27.99983775,183.7929,0.094316529,1.0435718,2.7781868249999997,2.7790128,1.650992,21644.18875,42.254756,1.88052925,12.64343475,13.088803500000001,0.8773860250000001,7925.3939,12820.92075,5165.3306,614.19732,6206.783225,19060.65725,8210.809276940894
268.8072925,24630.48075,12.9509005,846.7806800000001,37.89405775,71.25572149999999,481.37936249999996,12.53054525,36896.422,15322.432,480.08452,140.18842,27.97288075,183.956505,0.094316529,1.057247875,2.765339175,2.7790128,1.7765171,24610.722,43.14689875,1.494056725,13.212116,14.23746175,0.92809498,8093.358,12845.518250000001,5317.227275,614.195395,6212.273375,19231.65925,9531.562755037288
268.8489575,23079.163999999997,12.97183875,869.3781675,37.822018,72.20778575,500.2367675,12.220313749999999,36896.422,15322.432,480.08452,140.18842,27.952187,184.6082525,0.094316529,1.10713145,2.7674191500000003,2.7790128,1.840342275,23071.25275,43.20226625,1.1790498249999999,13.40109625,14.45888925,0.938750135,8038.380425,12904.943500000001,5551.323775,614.198125,6227.511925,19509.945249999997,8875.390853248029
268.890625,22200.15425,12.958796249999999,818.2248975,35.386206,68.2046265,479.74658750000003,11.089927,36896.422,15322.432,480.08452,140.18842,27.93572675,185.2264325,0.094316529,1.15569475,2.777214375,2.7790128,1.7649344,22188.471,42.82339475,0.9970318874999999,13.347465249999999,14.1197385,0.9255658725,7887.4516,12961.195749999999,5665.235025,614.201095,6245.156925,19662.46675,8375.127161969554
268.9322925,21081.17325,12.912872499999999,746.4512525,31.628020499999998,61.97288775,441.95989249999997,10.10998925,36896.422,15322.432,480.08452,140.18842,27.921460250000003,185.62931,0.094316529,1.155448075,2.7869518500000003,2.7790128,1.599287725,21074.228499999997,42.53203875,0.932112715,13.31351475,13.782666,0.9129049524999999,7794.776025,13000.749,5602.8027999999995,614.2026075,6266.03405,19618.712,7861.413909938563
268.9739575,18651.528,12.83741,715.0373275000001,27.66996125,56.981535,427.4356475,10.142196025,36896.422,15322.432,480.08452,140.18842,27.9073585,185.73702500000002,0.094316529,1.13447955,2.791133075,2.7790128,1.427593775,18647.712,42.004056000000006,0.9606842975000001,13.38505975,13.161872500000001,0.88434167,7703.437449999999,13015.7475,5409.4661750000005,614.201775,6291.38875,19415.01825,6874.9882000605
269.015625,16107.18575,12.7377625,686.52206,23.29115725,51.89941625,418.459155,11.209995249999999,36896.422,15322.432,480.08452,140.18842,27.89299125,185.3970825,0.094316529,1.165951375,2.789849025,2.7790128,1.334612,16105.677249999999,41.350784250000004,1.039304075,13.54018275,12.43137725,0.8486480625,7623.775799999999,12995.287499999999,5211.9568,614.19733,6315.816049999999,19172.6175,5876.578284737712
269.0572925,13185.721,12.620932,670.923645,20.849642,48.922379,409.0941325,11.7828275,36896.422,15322.432,480.08452,140.18842,27.88030175,184.6321575,0.094316529,1.26990105,2.79037195,2.7790128,1.39608245,13181.96625,40.624688,1.121175125,13.700912,11.66671975,0.8108987925,7537.120175,12940.74525,5022.78505,614.1896899999999,6339.840525,18904.871,4755.082782333452
269.0989575,11531.36925,12.495093,626.1614099999999,17.33459575,43.593867,379.6420825,11.750369249999999,36896.422,15322.432,480.08452,140.18842,27.87246575,183.3659725,0.094316529,1.4206007999999999,2.7978766,2.7790128,1.721273975,11523.703,40.05459725,1.1777012999999998,13.841069000000001,11.0978835,0.783832945,7475.89085,12847.650249999999,4769.4438,614.1786175,6359.796974999999,18538.4675,4122.791698062711
269.140625,9972.680475,12.369033,595.3116075,14.393101,39.43291175,360.4852,11.1792425,36896.422,15322.432,480.08452,140.18842,27.872301,180.21002249999998,0.094316529,1.5022209499999999,2.8097399750000003,2.7790128,2.1864666,9964.511175,39.67037525,1.1938612750000002,13.949571,10.74018425,0.76975921,7438.5333,12619.1105,4319.22305,614.1533549999999,6378.255,17841.223749999997,3547.1033845245047
269.1822925,8914.876525,12.251554500000001,569.74884,12.053971,35.899268,343.9089925,11.051117,36896.422,15322.432,480.08452,140.18842,27.88153575,177.0270525,0.094316529,1.3588670999999999,2.806643575,2.7790128,2.389352625,8904.233825,39.417579,1.166091725,14.01869825,10.52269325,0.7671383,7412.298725000001,12385.8115,3795.24745,614.1289975,6395.58455,17066.59525,3158.3920146635705
269.2239575,8376.54355,12.15087575,551.272645,11.7126945,34.35016875,323.1105875,10.3459305,36896.422,15322.432,480.08452,140.18842,27.900589,174.70022749999998,0.094316529,1.124565375,2.799834025,2.7790128,2.3222733,8364.036075,39.306287749999996,1.100533725,14.053543,10.4483885,0.77873358,7407.218325,12210.65325,3382.003425,614.1126675,6409.92015,16463.841,2964.6910873342454
269.265625,9275.145425,12.0740705,504.555565,13.5479975,33.9689265,287.6315,9.525786525000001,36896.422,15322.432,480.08452,140.18842,27.928092499999998,173.080425,0.094316529,0.9761589724999999,2.7906369,2.7790128,2.159253,9247.470725,39.334841499999996,1.002608375,14.05272325,10.5118115,0.8085276225,7433.2101,12084.228500000001,3095.58675,614.1030125,6418.829775,16042.0805,3290.237895987951
